timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400444726;4093;1683400444726;4090
1683400444727;4093;1683400444727;4094
1683400444728;4095;1683400444728;4082
1683400444728;4091;1683400444728;4095
1683400444729;4095;1683400444729;4095
1683400444729;4083;1683400444729;4090
1683400444730;4091;1683400444730;4094
1683400444730;4089;1683400444730;4091
1683400444731;4093;1683400444731;4085
1683400444731;4087;1683400444731;4095
1683400444732;4085;1683400444732;4092
1683400444733;4089;1683400444733;4093
1683400444733;4095;1683400444733;4095
1683400444733;4086;1683400444733;4091
1683400444734;4089;1683400444734;4094
1683400444735;4095;1683400444735;4092
1683400444735;4084;1683400444735;4095
1683400444736;4090;1683400444736;4093
1683400444736;4094;1683400444736;4094
1683400444737;4091;1683400444737;4094
1683400444737;4095;1683400444737;4095
1683400444738;4081;1683400444738;4090
1683400444739;4094;1683400444739;4093
1683400444740;4079;1683400444740;4094
1683400444740;4091;1683400444740;4087
1683400444741;4089;1683400444741;4093
1683400444741;4093;1683400444741;4095
1683400444742;4095;1683400444742;4091
1683400444742;4091;1683400444742;4087
1683400444743;4087;1683400444743;4091
1683400444743;4087;1683400444743;4089
1683400444744;4087;1683400444744;4095
1683400444744;4095;1683400444744;4091
1683400444745;4090;1683400444745;4094
1683400444745;4095;1683400444745;4095
1683400444746;4095;1683400444746;4092
1683400444746;4085;1683400444746;4095
1683400444747;4087;1683400444747;4092
1683400444747;4094;1683400444747;4085
1683400444747;4090;1683400444747;4095
1683400444748;4093;1683400444748;4090
1683400444748;4094;1683400444748;4092
1683400444749;4093;1683400444749;4090
1683400444749;4095;1683400444749;4094
1683400444750;4093;1683400444750;4093
1683400444751;4091;1683400444751;4093
1683400444751;4091;1683400444751;4093
1683400444752;4083;1683400444752;4094
1683400444752;4095;1683400444752;4091
1683400444753;4088;1683400444753;4090
1683400444753;4095;1683400444753;4093
1683400444754;4095;1683400444754;4089
1683400444754;4094;1683400444754;4085
1683400444755;4092;1683400444755;4089
1683400444755;4091;1683400444755;4095
1683400444756;4093;1683400444756;4089
1683400444756;4090;1683400444756;4091
1683400444757;4095;1683400444757;4093
1683400444757;4094;1683400444757;4091
1683400444757;4094;1683400444757;4095
1683400444759;4087;1683400444759;4089
1683400444759;4092;1683400444759;4094
1683400444760;4095;1683400444760;4090
1683400444760;4094;1683400444760;4091
1683400444761;4095;1683400444761;4092
1683400444761;4095;1683400444761;4089
1683400444762;4092;1683400444762;4091
1683400444762;4095;1683400444762;4091
1683400444763;4093;1683400444763;4095
1683400444763;4093;1683400444763;4085
1683400444764;4094;1683400444764;4091
1683400444764;4087;1683400444764;4087
1683400444764;4095;1683400444764;4095
1683400444765;4095;1683400444765;4095
1683400444765;4089;1683400444765;4091
1683400444766;4090;1683400444766;4092
1683400444766;4093;1683400444766;4094
1683400444767;4083;1683400444767;4095
1683400444767;4092;1683400444767;4091
1683400444768;4095;1683400444768;4093
1683400444768;4095;1683400444768;4093
1683400444769;4093;1683400444769;4092
