timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400498532;0;1683400498532;0
1683400498532;1;1683400498532;0
1683400498533;0;1683400498533;0
1683400498534;0;1683400498534;5
1683400498534;1;1683400498534;0
1683400498535;2;1683400498535;0
1683400498535;0;1683400498535;0
1683400498535;0;1683400498535;0
1683400498536;0;1683400498536;0
1683400498536;0;1683400498536;1
1683400498537;2;1683400498537;16
1683400498537;0;1683400498537;0
1683400498538;0;1683400498538;7
1683400498538;0;1683400498538;5
1683400498539;2;1683400498539;2
1683400498539;4;1683400498539;1
1683400498540;3;1683400498540;0
1683400498540;4;1683400498540;0
1683400498541;0;1683400498541;0
1683400498541;0;1683400498541;4
1683400498541;0;1683400498541;0
1683400498542;0;1683400498542;6
1683400498542;0;1683400498542;0
1683400498543;10;1683400498543;6
1683400498543;0;1683400498543;8
1683400498544;6;1683400498544;0
1683400498544;0;1683400498544;0
1683400498545;0;1683400498545;3
1683400498545;7;1683400498545;0
1683400498546;0;1683400498546;0
1683400498546;0;1683400498546;0
1683400498546;0;1683400498546;0
1683400498547;2;1683400498547;2
1683400498547;2;1683400498547;1
1683400498548;0;1683400498548;0
1683400498548;0;1683400498548;0
1683400498549;1;1683400498549;0
1683400498549;0;1683400498549;2
1683400498549;4;1683400498549;0
1683400498550;6;1683400498550;2
1683400498550;2;1683400498550;0
1683400498551;5;1683400498551;9
1683400498551;4;1683400498551;0
1683400498552;7;1683400498552;4
1683400498552;0;1683400498552;0
1683400498552;0;1683400498552;1
1683400498553;0;1683400498553;8
1683400498553;2;1683400498553;8
1683400498554;6;1683400498554;0
1683400498554;0;1683400498554;4
1683400498555;0;1683400498555;0
1683400498555;4;1683400498555;3
1683400498556;3;1683400498556;5
1683400498556;4;1683400498556;0
1683400498556;0;1683400498556;0
1683400498557;0;1683400498557;2
1683400498557;4;1683400498557;5
1683400498558;0;1683400498558;6
1683400498558;0;1683400498558;6
1683400498558;1;1683400498558;4
1683400498559;2;1683400498559;0
1683400498559;4;1683400498559;0
1683400498560;0;1683400498560;2
1683400498560;0;1683400498560;4
1683400498561;3;1683400498561;0
1683400498561;4;1683400498561;6
1683400498561;0;1683400498561;0
1683400498562;0;1683400498562;2
1683400498562;5;1683400498562;2
1683400498563;6;1683400498563;5
1683400498563;1;1683400498563;0
1683400498563;2;1683400498563;0
1683400498564;0;1683400498564;5
1683400498564;5;1683400498564;8
1683400498565;3;1683400498565;0
1683400498565;1;1683400498565;1
1683400498565;3;1683400498565;0
1683400498566;2;1683400498566;4
1683400498566;1;1683400498566;0
1683400498567;1;1683400498567;0
1683400498567;2;1683400498567;0
1683400498568;3;1683400498568;7
1683400498568;0;1683400498568;3
1683400498569;0;1683400498569;0
1683400498569;5;1683400498569;0
1683400498570;1;1683400498570;5
1683400498570;0;1683400498570;16
1683400498570;4;1683400498570;8
1683400498571;10;1683400498571;0
1683400498571;1;1683400498571;3
1683400498572;4;1683400498572;0
1683400498572;1;1683400498572;0
1683400498572;3;1683400498572;8
1683400498573;0;1683400498573;0
1683400498573;2;1683400498573;2
1683400498574;4;1683400498574;0
1683400498574;2;1683400498574;0
1683400498575;1;1683400498575;0
1683400498575;0;1683400498575;0
1683400498576;0;1683400498576;0
1683400498576;1;1683400498576;3
1683400498576;3;1683400498576;2
1683400498577;0;1683400498577;1
1683400498577;0;1683400498577;0
1683400498578;3;1683400498578;0
1683400498578;2;1683400498578;7
1683400498579;0;1683400498579;0
1683400498579;0;1683400498579;6
1683400498579;4;1683400498579;2
1683400498580;4;1683400498580;0
1683400498580;0;1683400498580;2
1683400498581;0;1683400498581;0
1683400498581;0;1683400498581;0
1683400498582;9;1683400498582;3
1683400498582;2;1683400498582;9
1683400498583;4;1683400498583;0
1683400498583;0;1683400498583;9
1683400498583;11;1683400498583;2
1683400498584;4;1683400498584;0
1683400498584;3;1683400498584;0
1683400498585;0;1683400498585;22
1683400498585;5;1683400498585;2
1683400498586;4;1683400498586;1
1683400498586;0;1683400498586;0
1683400498587;6;1683400498587;3
1683400498587;3;1683400498587;0
1683400498587;0;1683400498587;0
1683400498588;2;1683400498588;0
1683400498588;0;1683400498588;0
1683400498589;0;1683400498589;0
1683400498589;0;1683400498589;0
1683400498590;0;1683400498590;6
1683400498590;0;1683400498590;6
1683400498590;0;1683400498590;0
1683400498591;1;1683400498591;4
1683400498591;0;1683400498591;4
1683400498592;4;1683400498592;0
1683400498592;3;1683400498592;0
1683400498593;5;1683400498593;0
1683400498593;0;1683400498593;7
1683400498593;4;1683400498593;0
1683400498594;1;1683400498594;0
1683400498594;0;1683400498594;2
1683400498595;4;1683400498595;0
1683400498595;0;1683400498595;2
1683400498596;2;1683400498596;0
1683400498596;0;1683400498596;0
1683400498596;0;1683400498596;1
1683400498597;0;1683400498597;2
1683400498597;4;1683400498597;8
1683400498598;0;1683400498598;6
1683400498598;0;1683400498598;0
1683400498598;1;1683400498598;0
1683400498599;1;1683400498599;1
1683400498599;0;1683400498599;0
1683400498600;0;1683400498600;1
1683400498600;0;1683400498600;4
1683400498601;0;1683400498601;4
1683400498601;0;1683400498601;4
1683400498602;0;1683400498602;0
1683400498602;1;1683400498602;0
1683400498602;0;1683400498602;3
1683400498603;2;1683400498603;6
1683400498603;5;1683400498603;3
