time	V(vout)
0.000000000000000e+000	0.000000e+000
4.251700680272102e-008	1.118953e-005
8.503401360544204e-008	4.203124e-005
1.275510204081630e-007	9.252511e-005
1.700680272108841e-007	1.626712e-004
2.125850340136051e-007	2.524694e-004
2.551020408163261e-007	3.619198e-004
2.976190476190470e-007	4.910223e-004
3.273809523809527e-006	1.029639e-002
3.354189338816747e-006	1.050508e-002
3.461362425493041e-006	1.068164e-002
3.571428571428574e-006	1.078032e-002
5.952380952380950e-006	1.075469e-002
6.048470171870841e-006	1.081984e-002
6.249999999999997e-006	1.124355e-002
9.226190476190477e-006	2.101697e-002
9.268707482993198e-006	2.113568e-002
9.311224489795920e-006	2.123790e-002
9.353741496598641e-006	2.132362e-002
9.396258503401361e-006	2.139284e-002
9.438775510204082e-006	2.144556e-002
9.481292517006803e-006	2.148178e-002
9.523809523809525e-006	2.150150e-002
1.190476190476190e-005	2.145037e-002
1.208801704790197e-005	2.166804e-002
1.220238095238095e-005	2.193954e-002
1.517857142857143e-005	3.168117e-002
1.547619047619047e-005	3.215780e-002
1.785714285714285e-005	3.208133e-002
1.815476190476190e-005	3.256696e-002
2.113095238095238e-005	4.227700e-002
2.142857142857143e-005	4.275049e-002
2.380952380952380e-005	4.264882e-002
2.410714285714285e-005	4.313131e-002
2.708333333333333e-005	5.280996e-002
2.738095238095237e-005	5.328031e-002
2.976190476190475e-005	5.315360e-002
3.005952380952380e-005	5.363296e-002
3.303571428571427e-005	6.328040e-002
3.333333333333332e-005	6.374764e-002
3.571428571428570e-005	6.359604e-002
3.601190476190474e-005	6.407229e-002
3.898809523809523e-005	7.368871e-002
3.928571428571428e-005	7.415285e-002
4.166666666666665e-005	7.397650e-002
4.196428571428570e-005	7.444967e-002
4.494047619047618e-005	8.403525e-002
4.523809523809523e-005	8.449630e-002
4.761904761904760e-005	8.429536e-002
4.791666666666665e-005	8.476546e-002
5.089285714285713e-005	9.432038e-002
5.119047619047617e-005	9.477838e-002
5.357142857142855e-005	9.455299e-002
5.386904761904760e-005	9.502003e-002
5.684523809523807e-005	1.045445e-001
5.714285714285712e-005	1.049994e-001
5.952380952380950e-005	1.047497e-001
5.982142857142854e-005	1.052137e-001
6.279761904761902e-005	1.147079e-001
6.309523809523807e-005	1.151598e-001
6.547619047619045e-005	1.148860e-001
6.577380952380950e-005	1.153469e-001
6.874999999999998e-005	1.248110e-001
6.904761904761903e-005	1.252599e-001
7.142857142857141e-005	1.249620e-001
7.172619047619046e-005	1.254200e-001
7.470238095238093e-005	1.348541e-001
7.499999999999998e-005	1.353001e-001
7.738095238095236e-005	1.349783e-001
7.767857142857140e-005	1.354333e-001
8.065476190476187e-005	1.448377e-001
8.095238095238092e-005	1.452806e-001
